2025-05-11 17:17:00 | INFO | repo=arquillian-phantom-binary | action=commit
2025-09-06 18:00:00 | WARN | repo=arquillian-phantom-binary | action=commit
2025-05-13 12:48:00 | DEBUG | repo=arquillian-phantom-binary | action=commit
2025-03-10 21:33:00 | WARN | repo=arquillian-phantom-binary | action=commit
2025-03-09 07:41:00 | DEBUG | repo=arquillian-phantom-binary | action=commit
2025-07-02 08:59:00 | DEBUG | repo=arquillian-phantom-binary | action=commit
2025-02-07 11:25:00 | INFO | repo=arquillian-phantom-binary | action=commit
2025-05-09 12:25:00 | DEBUG | repo=arquillian-phantom-binary | action=test | passed=true
2025-03-17 14:46:00 | DEBUG | repo=arquillian-phantom-binary | action=test | passed=true
2025-09-19 17:31:00 | WARN | repo=arquillian-phantom-binary | action=commit
2025-05-06 19:36:00 | DEBUG | repo=arquillian-phantom-binary | action=commit
2025-11-25 14:49:00 | DEBUG | repo=arquillian-phantom-binary | action=commit
2025-06-19 21:01:00 | WARN | repo=arquillian-phantom-binary | action=commit
2025-12-11 20:50:00 | DEBUG | repo=arquillian-phantom-binary | action=commit
2025-06-06 13:35:00 | DEBUG | repo=arquillian-phantom-binary | action=commit
2025-05-10 13:30:00 | DEBUG | repo=arquillian-phantom-binary | action=commit
2025-02-28 10:14:00 | INFO | repo=arquillian-phantom-binary | action=commit
2025-01-01 19:17:00 | DEBUG | repo=arquillian-phantom-binary | action=commit
2025-06-22 17:45:00 | DEBUG | repo=arquillian-phantom-binary | action=commit
2025-05-05 15:08:00 | DEBUG | repo=arquillian-phantom-binary | action=commit
